mnemonic,var
FHPN1.IUSA,const_mfperm_us
FCPRNMC.IUSA,const_mfval_us
FCPTOTNRC.IUSA,const_nres_us
FHPNM.IUSA,const_sfperm_us
FCPRNMC.IUSA,const_sfval_us
FHPNR.IUSA,const_totperm_us
FCPRN1C.IUSA,const_totval_us
FCPIUEHC.IUSA,cpi_oer_us
FCPIUEHA.IUSA,cpi_rent_us
FCPIU.IUSA,cpi_us
FCPIUAH.IUSA,cpi_usre_us
FLBE.IUSA,cps_empl_us
FLBF.IUSA,cps_lf_us
FLBT.IUSA,cps_lfpr_us
FLBU.IUSA,cps_unem_us
FLBR.IUSA,cps_ur_us
FENRCA.IUSA,demo_enroll_us
FPOP0004CA.IUSA,demo_pop0004_us
FPOP0519CA.IUSA,demo_pop0519_us
FPOP2024CA.IUSA,demo_pop2024_us
FPOP2544CA.IUSA,demo_pop2544_us
FPOP4564CA.IUSA,demo_pop4564_us
FPOP65GCA.IUSA,demo_pop65g_us
FPOP85GCA.IUSA,demo_pop85g_us
FLBP.IUSA,demo_popciv_us
FPOPCA.IUSA,demo_poptot_us
FGF.IUSA,gdp_expf_us
FGFD.IUSA,gdp_expfdef_us
FGFN.IUSA,gdp_expfndef_us
FGS.IUSA,gdp_expsl_us
FGDP.IUSA,gdp_tot_us
FHVACRQ.IUSA,hous_vacrt_us
FHCLHP1TI20Q.IUSA,house_hpics_us
FHOFHOPIQ.IUSA,house_hpifhfa_us
FHX1MED.IUSA,house_msfe_us
FYHHMEDQ.IUSA,inc_mhi_us
FYPQ.IUSA,inc_pers_us
FYPEPPFRQ.IUSA,inc_propfarm_us
FYPEPPNFQ.IUSA,inc_propnonfarm_us
FYPEWS$Q.IUSA,inc_wstot_us
FRFHLMCFM.IUSA,int_30_us
FRFHLMCF3015Q.IUSA,int_30spread_us
FRT.IUSA,retsale_tot_us
