"year","LEVEL","cnty","own_code","naics","employment","wages","largest_firm","total_firms"
2013.0,"2","001","5","11",1070.4166666666667,26002348,488.0833333333333,39
2013.0,"2","001","5","21",563.9166666666667,51419460,225.25,44
2013.0,"2","001","5","22",594.3333333333335,50818738,146.66666666666669,13
2013.0,"2","001","5","23",16877.166666666668,851979094,846.0,1275
2013.0,"2","001","5","31-33",11966.333333333327,706434158,710.0833333333334,479
2013.0,"2","001","5","42",14445.666666666653,881876125,582.25,1067
2013.0,"2","001","5","44-45",18018.83333333336,531705174,558.5,1012
2013.0,"2","001","5","48-49",13536.249999999995,615984492,2405.6666666666665,490
2013.0,"2","001","5","51",2458.7500000000005,183293614,519.1666666666666,103
2013.0,"2","001","5","52",2927.583333333332,135477788,548.0833333333333,502
2013.0,"2","001","5","53",2778.5000000000014,109396111,196.58333333333331,459
2013.0,"2","001","5","54",5138.166666666662,334744191,321.8333333333333,1101
2013.0,"2","001","5","55",1318.5833333333335,107869544,537.6666666666667,79
2013.0,"2","001","5","56",10238.0,336317658,734.8333333333334,628
2013.0,"2","001","5","61",1230.8333333333337,42818098,141.25,125
2013.0,"2","001","5","62",16502.666666666646,807616977,4786.583333333333,711
2013.0,"2","001","5","71",1289.25,25161302,308.9166666666667,80
2013.0,"2","001","5","72",13421.000000000004,225409413,136.83333333333331,753
2013.0,"2","001","5","81",4956.249999999991,188749251,150.66666666666666,776
2013.0,"2","001","5","99",16.916666666666664,729676.0,6.0,31
2013.0,"2","003","5","11",249.00000000000003,6108706.0,29.583333333333332,30
2013.0,"2","003","5","21",34.333333333333336,1248528.0,34.0,2
2013.0,"2","003","5","22",73.5,7174184.0,35.5,4
2013.0,"2","003","5","23",315.08333333333337,12915344,40.833333333333336,43
2013.0,"2","003","5","31-33",148.58333333333331,4194753.0,53.666666666666664,17
2013.0,"2","003","5","42",184.08333333333331,7783123.0,38.666666666666664,25
2013.0,"2","003","5","44-45",1059.6666666666663,27459698,318.66666666666663,84
2013.0,"2","003","5","48-49",187.33333333333334,7554198.0,50.25,17
2013.0,"2","003","5","51",84.75,2531876.0,24.083333333333332,12
2013.0,"2","003","5","52",289.0833333333333,13443922,42.583333333333336,34
2013.0,"2","003","5","53",108.74999999999999,2758646.0,30.0,18
2013.0,"2","003","5","54",169.74999999999997,6976048.0,28.583333333333332,43
2013.0,"2","003","5","55",122.0,4209856.0,86.5,2
2013.0,"2","003","5","56",62.83333333333333,1587398.0,19.416666666666664,14
2013.0,"2","003","5","61",10.0,249819.0,5.5,2
2013.0,"2","003","5","62",1373.9999999999998,54534302,250.41666666666669,70
2013.0,"2","003","5","71",45.41666666666666,816868.0,12.25,9
2013.0,"2","003","5","72",808.4166666666667,10633451,80.5,53
2013.0,"2","003","5","81",150.91666666666663,3252622.0,15.5,39
2013.0,"2","005","5","11",101.66666666666667,4621468.0,29.583333333333332,20
2013.0,"2","005","5","21",872.2500000000001,119234477,145.16666666666669,112
2013.0,"2","005","5","22",157.75,13624386,78.08333333333334,11
2013.0,"2","005","5","23",15949.166666666655,909492506,478.3333333333333,1651
2013.0,"2","005","5","31-33",7619.000000000001,446639040,448.5,462
2013.0,"2","005","5","42",13621.749999999975,1198169134,994.6666666666666,1764
2013.0,"2","005","5","44-45",32081.58333333336,1000612069,398.3333333333333,1868
2013.0,"2","005","5","48-49",3026.4166666666665,145597278,291.75,355
2013.0,"2","005","5","51",17742.583333333332,1749731267,2032.1666666666665,435
2013.0,"2","005","5","52",25991.50000000003,2182054307,1159.6666666666667,1796
2013.0,"2","005","5","53",5613.916666666666,358472760,224.41666666666669,1143
2013.0,"2","005","5","54",27738.91666666665,2473480574,2477.5,4038
2013.0,"2","005","5","55",8222.33333333333,940142073,1003.3333333333333,294
2013.0,"2","005","5","56",27007.16666666665,996602776,1399.9166666666667,1405
2013.0,"2","005","5","61",3531.583333333335,151750059,253.25,345
2013.0,"2","005","5","62",35999.25000000005,1822334987,1868.5833333333335,1990
2013.0,"2","005","5","71",3822.166666666667,249625891,293.41666666666663,222
2013.0,"2","005","5","72",22909.833333333372,421391640,347.6666666666667,1342
2013.0,"2","005","5","81",8169.999999999985,318043015,170.16666666666669,1665
2013.0,"2","005","5","99",29.333333333333332,1840183.0,2.75,64
2013.0,"2","007","5","11",18.833333333333332,613229.0,4.5,9
2013.0,"2","007","5","21",21.500000000000004,752005.0,10.333333333333334,6
2013.0,"2","007","5","22",29.416666666666664,2017379.0,20.333333333333332,3
2013.0,"2","007","5","23",197.4166666666667,6206666.0,15.166666666666666,81
2013.0,"2","007","5","31-33",86.16666666666667,1739019.0,37.75,11
2013.0,"2","007","5","42",35.166666666666664,1696056.0,6.083333333333334,19
2013.0,"2","007","5","44-45",557.4166666666666,15152546,105.91666666666667,88
2013.0,"2","007","5","48-49",18.583333333333332,911882.0,8.583333333333332,6
2013.0,"2","007","5","51",57.75,3401693.0,16.583333333333332,9
2013.0,"2","007","5","52",85.75,5091611.0,16.0,24
2013.0,"2","007","5","53",176.58333333333331,6934620.0,81.91666666666667,36
2013.0,"2","007","5","54",128.33333333333334,6377347.0,14.666666666666668,59
2013.0,"2","007","5","55",8.833333333333334,1726365.0,2.5833333333333335,7
2013.0,"2","007","5","56",106.83333333333333,2370739.0,46.583333333333336,35
2013.0,"2","007","5","61",22.166666666666668,236452.0,17.916666666666668,4
2013.0,"2","007","5","62",264.25,6461237.0,73.83333333333333,29
2013.0,"2","007","5","71",48.99999999999999,837325.0,13.5,14
2013.0,"2","007","5","72",723.416666666667,10785035,92.25,60
2013.0,"2","007","5","81",118.58333333333334,3371565.0,20.25,31
2013.0,"2","007","5","99",1.0,20586.0,1.0,1
2013.0,"2","009","5","11",45.416666666666664,1221669.0,15.250000000000002,12
2013.0,"2","009","5","21",8.083333333333334,253219.0,3.0,4
2013.0,"2","009","5","22",10.666666666666666,668990.0,10.666666666666666,1
2013.0,"2","009","5","23",35.58333333333333,1143704.0,9.833333333333332,10
2013.0,"2","009","5","31-33",15.666666666666666,296273.0,9.5,2
2013.0,"2","009","5","42",45.25,1819780.0,13.833333333333334,8
2013.0,"2","009","5","44-45",119.25000000000003,2527416.0,24.416666666666664,17
2013.0,"2","009","5","48-49",26.583333333333332,1172318.0,11.249999999999998,6
2013.0,"2","009","5","51",2.0,144340.0,2.0,2
2013.0,"2","009","5","52",46.083333333333336,1441976.0,11.25,9
2013.0,"2","009","5","53",1.0,10500.0,1.0,1
2013.0,"2","009","5","54",5.0,85358.0,3.0,4
2013.0,"2","009","5","61",0.25,5440.0,0.25,1
2013.0,"2","009","5","62",25.249999999999996,412490.0,8.0,6
2013.0,"2","009","5","71",4.25,42064.0,4.25,1
2013.0,"2","009","5","72",24.5,299271.0,9.833333333333334,8
2013.0,"2","009","5","81",17.5,376780.0,4.5,8
2013.0,"2","011","5","11",151.5,4728094.0,112.41666666666667,12
2013.0,"2","011","5","22",15.750000000000002,498259.0,13.916666666666668,2
2013.0,"2","011","5","23",15.166666666666668,386652.0,12.75,5
2013.0,"2","011","5","31-33",1.0,46605.0,1.0,1
2013.0,"2","011","5","42",2.0833333333333335,38559.0,2.0833333333333335,1
2013.0,"2","011","5","44-45",73.33333333333334,1470188.0,19.166666666666668,13
2013.0,"2","011","5","48-49",0.0,0.0,0.0,1
2013.0,"2","011","5","51",5.25,127468.0,5.25,1
2013.0,"2","011","5","52",49.08333333333333,2210690.0,22.916666666666668,5
2013.0,"2","011","5","53",1.0,26000.0,1.0,1
2013.0,"2","011","5","54",3.333333333333333,95550.0,1.0833333333333333,6
