var,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
wprop_tot_co,14277526,14841317,15425950,16570473,17578416,18551017,19114162,20024657,19495750,18124089,18687728,19324788,20255195,20808609,22480745,23001576,23693380,25104850,26587439,27674385,27554607,30666221,34785340,35687811,0
w_tot_co,70173497014,71583080256,68936865891,69114499525,72415476874,76696277962,82571991414,88309550035,90815220928,85649398157,86370590437,90625032278,96353938197,99845785640,107709566260,114380504849,117824796716,125940132613,133797859773,143938986660,147162811680,163063290092,180261455880,190579786112,198321205996
wws_tot_co,70159219488,71568238939,68921439941,69097929052,72397898458,76677726945,82552877252,88289525378,90795725178,85631274068,86351902709,90605707490,96333683002,99824977031,107687085515,114357503273,117801103336,125915027763,133771272334,143911312275,147135257073,163032623871,180226670540,190544098301,198321205996
eprop_tot_co,333364,341380,350943,369784,385326,401092,405155,426017,414663,420767,426417,434910,440482,447586,468729,480847,497109,517350,535299,550568,542712,569521,583986,607592,0
ews_tot_co,1865818,1872850,1814307,1776722,1800646,1843544,1890640,1934618,1943153,1828955,1802165,1839905,1891870,1952166,2029168,2097611,2146791,2197742,2255703,2308134,2182001,2278967,2384337,2432875,2435701
e_tot_co,2199182,2214230,2165250,2146506,2185972,2244636,2295795,2360635,2357816,2249722,2228582,2274815,2332352,2399752,2497897,2578458,2643900,2715092,2791002,2858702,2724713,2848488,2968323,3040467,2435701
wprop_min_co,97153,105493,100052,126448,130611,209197,214426,327374,416015,242955,265202,301187,292434,298967,305052,243917,211335,272162,286564,261440,209187,154793,287630,185026,0
e_min_co,13848,14614,14630,15027,16149,19613,23414,28699,32102,27605,28046,31800,34139,34329,37871,34283,26943,30103,32415,32504,25017,21933,23649,23763,21676
ews_min_co,11988,12845,12877,13109,14374,17007,20680,25019,28347,24003,24232,27788,30224,30437,33855,30550,23575,25800,28204,28636,21568,19647,20681,21584,21676
eprop_min_co,1860,1769,1753,1918,1775,2606,2734,3680,3755,3602,3814,4012,3915,3892,4016,3733,3368,4303,4211,3868,3449,2286,2968,2179,0
wws_min_co,769862154,966687523,834760117,873800700,1204415439,1415154075,1742817391,2185180463,2743660166,2164814813,2402158789,2914931261,3147952783,3322777606,3825755179,3504760693,2702391370,3010678586,3407173971,3572741670,2982292743,2689902882,3295863108,3584272391,3356086995
