var,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ws_tot_c001,144502,146043,144053,139987,141344,147683,152738,154072,155119,150163,147987,154794,159144,172824,182840,191869,198369,204965,213342,225847,220789,228088,238188,245136,249250
inc_tot_c001,4841481328,5076131113,5045961063,5017814823,5325908231,5668846429,5999575455,6224528520,6476810351,6243468758,6242245005,6728921183,7051866659,8148803878,8899617329,9615225262,10157424041,10898125951,11682360139,12793582298,13307343359,14613146656,16244259020,17463304832,18402165056.48894
incws_tot_c001,4840802261,5075406793,5045205973,5017003223,5325019049,5667898625,5998575893,6223471040,6475792957,6242545389,6241282566,6727882122,7050747357,8147621523,8898274914,9613827934,10155935204,10896544640,11680616776,12791723211,13305470744,14611011436,16241728453,17460662734,18399488852
jobs_tot_c001,162548,164597,163169,160538,163151,171006,176532,179516,179825,175560,173942,181530,186645,201370,213173,223005,231239,239953,249936,264926,260725,270356,282743,292513,297238.5833427061
prop_tot_c001,18046,18554,19116,20551,21807,23323,23794,25444,24706,25397,25955,26736,27501,28546,30333,31136,32870,34988,36594,39079,39936,42268,44555,47377,47988.5833427061
incp_tot_c001,679067,724320,755090,811600,889182,947804,999562,1057480,1017394,923369,962439,1039061,1119302,1182355,1342415,1397328,1488837,1581311,1743363,1859087,1872615,2135220,2530567,2642098,2676204.4889418306
incp_govf_c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inc_govf_c001,135335227,135328030,141062675,142132214,147060297,160718435,154945461,157245610,95097365,111870017,114748930,108969146,112526163,95376732,100938552,103783545,105768871,98066335,177349728,291756650,314462112,328410664,359078669,402814039,412556734
inc_govl_c001,371951737,417876106,464436493,497614358,531088343,556158397,590071389,625774639,670329963,701519756,706458066,699091308,709177344,733732270,756671321,794571706,825565723,858354996,912377895,986088904,1075244574,1122849781,1230425087,1360040061,1489115212
incp_govs_c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ws_govl_c001,12405,12914,13891,14245,14688,15095,15612,15952,16141,16472,16406,16239,16428,16729,17004,17296,17667,17883,18423,19049,18673,18770,20277,21778,22220
ws_govf_c001,2851,2724,2758,2635,2487,2680,2616,2502,1392,1696,1735,1529,1500,1339,1345,1349,1361,1111,1788,3082,3204,3281,3372,3598,3600
incws_govf_c001,135335227,135328030,141062675,142132214,147060297,160718435,154945461,157245610,95097365,111870017,114748930,108969146,112526163,95376732,100938552,103783545,105768871,98066335,177349728,291756650,314462112,328410664,359078669,402814039,412556734
jobs_govl_c001,12405,12914,13891,14245,14688,15095,15612,15952,16141,16472,16406,16239,16428,16729,17004,17296,17667,17883,18423,19049,18673,18770,20277,21778,22220
prop_govf_c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incp_govl_c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inc_govs_c001,29457245,31898860,33338313,33137773,33440288,35117611,35969459,37469332,24842658,0,0,43890909,41897745,44533124,46902098,48189161,48759021,49756153,51524052,54135639,57809509,70458269,2451182488,2643251298,2855418968
prop_govl_c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prop_govs_c001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jobs_govf_c001,2851,2724,2758,2635,2487,2680,2616,2502,1392,1696,1735,1529,1500,1339,1345,1349,1361,1111,1788,3082,3204,3281,3372,3598,3600
ws_govs_c001,721,750,749,741,737,772,762,785,950,0,0,871,824,833,844,833,817,828,836,845,925,1125,22987,24160,25304
incws_govl_c001,371951737,417876106,464436493,497614358,531088343,556158397,590071389,625774639,670329963,701519756,706458066,699091308,709177344,733732270,756671321,794571706,825565723,858354996,912377895,986088904,1075244574,1122849781,1230425087,1360040061,1489115212
