var,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
incws_govf_r501,13389854,13484860,14028005,14754069,15884226,16864993,16930773,17211452,17664291,17910746,17812308,17475682,17042171,16518685,15824035,16338994,16039652,16222463,16301807,15795738,16408010,15979602,16126488,16669145,17869042
ws_govs_r501,1621,1763,1679,1600,1579,1598,1565,1598,1640,1648,1606,1614,1587,1565.4166666666663,1562.3333333333328,1526.583333333333,1502.5000000000002,1486.416666666667,1507.3333333333333,1444.1666666666663,1446.5833333333333,1382.6666666666663,1329.9166666666665,1348.0833333333333,1453.3333333333333
incws_govs_r501,47392193,54607155,56502096,54386379,54305517,56350283,56866948,56561890,64836784,68175014,66854532,67690956,66274586,68064992,70775372,72921765,73331111,76646184,81579115,83546074,90137459,88820663,86720851,96773839,99704152
inc_govl_r501,104167274,109256872,115314845,118936688,123637319,127370475,130584777,136693838,139437829,145511953,146068650,144583416,146445319,148618621,151988230,156566819,162558631,167130246,172708427,181881376,186907461,199104144,211129703,228278636,248685118
prop_tot_r501,4527,4489,4534,4599,4758,4893,4802,4915,4834,4844,4870,4926,4857,4835,4928,5006,5146,5340,5502,5556,5499,5730,5791,6011,6088.035893376621
jobs_govf_r501,401,380,390,398,399,408,404,382,389,383,369,359,339,326.83333333333337,315.75,310,311.5,302.5,292,286.25,298.1666666666667,282.0833333333333,272.4166666666667,260.58333333333337,264.66666666666663
ws_tot_r501,26427,26778,26904,27047,26492,26770,26808,27280,27326,27001,26606,27207,27423,27695,28193.50000000001,28025.583333333314,27560.000000000015,27772.416666666668,28296.83333333333,28508.583333333314,27536.250000000015,27506.24999999998,27591.916666666682,27921.833333333332,28465.33333333332
prop_govf_r501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inc_govs_r501,47392193,54607155,56502096,54386379,54305517,56350283,56866948,56561890,64836784,68175014,66854532,67690956,66274586,68064992,70775372,72921765,73331111,76646184,81579115,83546074,90137459,88820663,86720851,96773839,99704152
incws_tot_r501,600112206,644065237,665941056,683606247,689166764,722407820,752416266,813685258,858010164,848367111,860328230,922937287,939831056,970958297,1035392736,1059866657,1055484226,1096827499,1192701862,1240065155,1273846903,1321746053,1382353240,1437110264,1504938816
incp_tot_r501,157177,160452,162384,164466,188194,193925,202301,218411,221898,187078,189121,209854,209466,216358,235421,243167,250294,261940,274474,293997,292479,315579,377842,385177,390296.1072849829
inc_govf_r501,13389854,13484860,14028005,14754069,15884226,16864993,16930773,17211452,17664291,17910746,17812308,17475682,17042171,16518685,15824035,16338994,16039652,16222463,16301807,15795738,16408010,15979602,16126488,16669145,17869042
prop_govs_r501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ws_govf_r501,401,380,390,398,399,408,404,382,389,383,369,359,339,326.83333333333337,315.75,310,311.5,302.5,292,286.25,298.1666666666667,282.0833333333333,272.4166666666667,260.58333333333337,264.66666666666663
