year,demo_pop04_co,demo_pop419_co,demo_pop1924_co,demo_pop2444_co,demo_pop4464_co,demo_pop6474_co,demo_pop7484_co,demo_pop84_co,demo_births_co,demo_deaths_co,demo_netmig_co,demo_hh_co,demo_hu_co,demo_poptot_co,demo_lf_co,demo_cni16_co,demo_lfpr_co
1990,205512,707273,244597,1188922,604885,203474,110115,39087,53491,21514,-12584,1282488,1477349,3304042,NA,NA,NA
1991,207276,723967,249381,1201367,639540,205089,113653,40665,53530,22096,45475,1313504,1488886,3380951,NA,NA,NA
1992,211530,747376,256576,1227711,677125,209011,118019,42512,54545,22426,76762,1354139,1503198,3489832,NA,NA,NA
1993,215883,772034,264244,1255001,717137,213378,122833,44540,54100,23171,84277,1386998,1527392,3605038,NA,NA,NA
1994,219705,795556,271233,1278414,756546,216995,127250,46386,53788,23828,77064,1418294,1557549,3712062,NA,NA,NA
1995,222946,817456,277394,1298131,795528,220044,131424,48155,53869,24724,69867,1451449,1594454,3811074,NA,NA,NA
1996,225604,837298,282894,1314953,833771,222628,135447,49911,54974,25083,61483,1483877,1634373,3902448,NA,NA,NA
1997,228350,857757,288395,1331936,873342,225023,139492,51660,56305,25885,63055,1527884,1675928,3995923,NA,NA,NA
1998,231699,881151,294960,1352542,916781,227921,143905,53541,57738,26297,75127,1560722,1719248,4102491,NA,NA,NA
1999,235338,905732,301971,1374928,962798,231070,148601,55568,60718,26532,79307,1607300,1779663,4215984,NA,NA,NA
2000,239880,931932,308396,1397794,1016115,233924,153235,57509,63917,26997,85875,1674523,1835015,4338801,NA,NA,NA
2001,246710,950882,310550,1423565,1058931,240485,154187,59216,66525,27934,67121,1717669,1888179,4444513,NA,NA,NA
2002,252980,953280,315911,1419575,1101129,246145,155074,60635,67778,28833,21251,1743164,1940772,4504709,NA,NA,NA
2003,257833,955462,323504,1407922,1139063,252569,156444,62262,69012,28950,10313,1764982,1991916,4555084,NA,NA,NA
2004,262902,957657,331155,1393564,1179096,261083,158988,64420,68452,29025,14300,1788148,2034030,4608811,NA,NA,NA
2005,265866,961962,339041,1381013,1216329,270000,161635,66710,69031,29087,13779,1811477,2080634,4662534,NA,NA,NA
2006,269799,975232,345906,1387802,1255515,278792,163808,68844,69538,29308,42896,1845956,2122727,4745660,NA,NA,NA
2007,272201,988571,346626,1399824,1288386,288389,166541,71285,70777,29653,35000,1879158,2159545,4821784,NA,NA,NA
2008,273852,1002384,346621,1413115,1318536,301509,171261,74693,70733,31048,40469,1914596,2184314,4901938,NA,NA,NA
2009,274067,1011721,346450,1420842,1347134,320546,176990,79083,69135,30487,36267,1947695,2203007,4976853,NA,NA,NA
2010,273546,1023741,347669,1437181,1369092,335127,181079,82897,67306,31396,37569,1971855,2205618,5050332,2714370,3888208,0.698103085020143
2011,269860,1036142,349232,1465164,1372562,362090,183226,85320,65923,32017,39314,2008680,2217639,5123553,2728792,3954156,0.6901073199944565
2012,265736,1043815,353938,1488212,1376071,390845,187734,88419,64733,32764,39143,2036224,2230882,5194662,2747512,4020438,0.6833862380168529
2013,263556,1052462,359722,1510683,1385701,415742,192327,90654,64737,33624,45109,2065107,2254094,5270883,2771060,4090088,0.6775062052454617
2014,263720,1059500,363859,1531596,1396809,441689,197738,92733,65711,34003,45062,2094728,2281231,5347655,2806989,4160888,0.6746129672319947
2015,265533,1072088,368201,1562469,1413690,465776,204031,94818,66339,36244,68844,2132504,2310630,5446594,2839978,4249617,0.6682903424002681
2016,267316,1079524,371378,1594350,1419370,488796,212533,96347,66561,36820,53294,2164521,2339866,5529631,2902916,4327684,0.6707781806619891
2017,267124,1082455,375618,1627330,1415154,508722,224687,98503,65312,37747,42394,2190473,2377152,5599588,2967671,4398430,0.6747114311242876
2018,264721,1087385,380023,1659559,1417712,531605,236286,99623,63782,38219,51761,2220185,2418599,5676912,3048216,4474869,0.6811855274422558
2019,259751,1088831,382746,1683841,1415973,555028,247302,101463,62484,38645,34158,2242111,2460839,5734909,3125440,4538315,0.6886785073314655
2020,255648,1088361,384605,1705310,1413486,574344,258994,103836,62809,42149,29397,2267857,2507537,5784970,3093222,4594511,0.6732429196491204
2021,251938,1086986,381274,1718214,1406973,583572,278071,104084,61980,46550,10721,2293431,2548821,5811121,3150169,4631396,0.6801769919911836
2022,250668,1081427,384719,1721983,1402762,594880,297353,106451,62493,49740,16360,2316011,2590975,5840234,3182748,4668461,0.681755293661016
2023,250549,1074229,389500,1728181,1403698,606530,314335,109271,62165,45271,19172,2342884,2636534,5876300,3197420,4713801,0.6783103486973676
2024,250327,1067239,395905,1733936,1407901,617899,333000,112959,62527,44989,25292,2367212,NA,5919130,3217260,4765283,0.6751456314346913
2025,250798,1060487,405653,1740744,1415089,628865,351917,116977,61970,43250,32694,2395374,NA,5970544,3240246,4822100,0.6719574459260488
2026,251161,1053390,414635,1747764,1426299,635901,371106,122538,62438,43883,33677,2423315,NA,6022777,3262450,4876360,0.6690338695256298
2027,253516,1049730,422585,1772643,1440654,641060,389871,129909,63427,44898,58647,2459983,NA,6099953,3291998,4937395,0.6667479510956689
2028,256197,1046914,428781,1800037,1457000,644413,408371,136893,64440,46003,60203,2497934,NA,6178594,3324967,5000205,0.6649661363884081
2029,259628,1044873,430591,1822981,1477787,644164,427331,143730,65345,47137,54314,2533659,NA,6251116,3362193,5066682,0.6635887154552033
2030,263430,1044339,430015,1847076,1502484,639895,446601,150263,66271,48289,55029,2569198,NA,6324128,3399269,5132948,0.6622449711160137
2031,267025,1045479,426772,1872349,1527716,634691,457871,163993,67201,49466,54049,2602748,NA,6395912,3436623,5197594,0.6611949682872499
2032,270409,1047449,423071,1896121,1553600,629358,469588,177391,67899,50663,53837,2635837,NA,6466984,3473360,5260535,0.6602674442808574
2033,273539,1049412,420016,1919246,1576018,627628,480468,189227,68570,51873,51884,2667791,NA,6535565,3508820,5320005,0.6595520116992372
2034,276413,1051919,419410,1935856,1598623,628350,491010,201152,69223,53088,51034,2698486,NA,6602735,3542570,5376434,0.6589070004393247
2035,278953,1055323,419154,1949745,1620261,630722,500774,212824,69836,54304,49477,2727488,NA,6667744,3572709,5429353,0.6580358654152714
2036,281436,1060183,419074,1961105,1647314,630311,507641,225329,70412,55518,49749,2755533,NA,6732387,3601602,5481722,0.6570201845332543
2037,283755,1066442,417967,1973153,1674886,628430,512409,238076,70918,56716,48530,2781716,NA,6795119,3630220,5531164,0.6563211649482822
2038,285868,1074257,415525,1985070,1702960,627172,515646,250056,71346,57888,47954,2806621,NA,6856531,3658809,5579589,0.6557488374143687
2039,287653,1081848,413376,1996761,1728622,629123,516179,262016,71668,59032,46452,2830134,NA,6915620,3686213,5625684,0.6552470775109303
2040,289035,1090296,410752,2007918,1752890,633738,513450,273780,71872,60137,44491,2852342,NA,6971845,3711697,5669078,0.6547267474534659
2041,290021,1098341,409294,2020080,1772450,640476,510139,284758,71962,61187,42950,2877973,NA,7025571,3736017,5710246,0.6542655080008812
2042,290449,1106302,408575,2031380,1787576,648955,506932,295698,71897,62180,40585,2901927,NA,7075873,3758658,5749332,0.6537556015203158
2043,290478,1114203,409230,2039342,1804747,655477,506638,305034,71755,63123,40650,2925012,NA,7125155,3779815,5788416,0.6529964328755915
2044,290079,1122305,409091,2045183,1819949,662690,508593,314170,71530,64015,39383,2947101,NA,7172053,3799854,5826525,0.6521647122427175
2045,289327,1129865,409893,2049945,1833362,669931,512008,322736,71247,64817,38616,2969173,NA,7217099,3817397,5864223,0.6509638190771395
2046,288364,1136453,410974,2052564,1847289,682309,512955,330026,70927,65546,38448,2990768,NA,7260928,3834020,5901928,0.6496216151738889
2047,287154,1141955,412742,2048907,1866694,696248,512581,336334,70569,66209,37317,3012274,NA,7302605,3850312,5939052,0.6483041401220262
2048,285794,1146415,414671,2043892,1886885,711011,512525,341230,70192,66897,36501,3033655,NA,7342401,3867116,5975355,0.6471776153885418
2049,284291,1149596,417550,2036944,1905494,726461,514979,344614,69807,67463,35172,3054617,NA,7379917,3883606,6010614,0.6461246721216835
2050,282807,1151772,420712,2029184,1924450,742316,519288,346065,69446,67930,35155,3075502,NA,7416589,3899316,6045875,0.644954783219964
