var,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
incws_govl_co,6079000027,6681033724,7284705033,7604550703,7863547688,8138817614,8513592289,9069087674,9716159938,10055332446,10072678919,10051951059,10146397748,10277344825,10687879618,11254406974,11715241171,12139243607,12747313594,13471526199,13909399603,14535994098,15593756524,16907326262,18459552972
ws_govf_co,54706,52911,53002,53449,52861,52647,52170,52103,52365,53469,56262,54867,54537,53538.25,52669.25,53312.75000000001,54077.166666666664,53504.16666666667,52834.333333333336,52992.583333333336,54667.166666666664,54150.58333333333,53345.333333333336,55211.25,57087
prop_govl_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jobs_govs_co,64741,66133,67664,67002,67089,68190,69031,70598,73676,75055,76262,77353,79563,90248.91666666666,91615.41666666667,93914,96224.33333333334,99573.75,102519.41666666666,107029.75,108312.08333333333,108957.58333333334,112172.49999999999,116317.25,118941
prop_govf_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ws_tot_co,2170594,2188199,2141317,2104651,2127864,2172808,2224944,2274454,2292213,2183204,2160022,2195276,2248336,2335711.9166666707,2418337.166666668,2496093.3333333298,2553388.833333334,2609589.7499999986,2674343.250000003,2735908.416666665,2605901.91666666,2701609.25,2815456.9999999963,2885236.5833333307,2897982.833333325
incp_govs_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prop_tot_co,333364,341380,350943,369784,385326,401092,405155,426017,414663,420767,426417,434910,440482,447586,468729,480847,497109,517350,535299,550568,542712,569521,583986,607592,607879.3344730904
prop_govs_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incp_tot_co,14277526,14841317,15425950,16570473,17578416,18551017,19114162,20024657,19495750,18124089,18687728,19324788,20255195,20808609,22480745,23001576,23693380,25104850,26587439,27674385,27554607,30666221,34785340,35687811,35704688.013471924
inc_govs_co,2478839713,2677297498,2880304823,2886033735,2947662129,3069070288,3200147818,3299516440,3707579247,3844699564,3905650760,4012858287,4178335566,4911850574,5190560447,5494386123,5845518808,6234151546,6652229887,7220596329,7549288036,8029209555,8603847528,9302957758,9841247967
jobs_govl_co,199556,209345,218600,220544,221726,225096,230144,235267,241631,243941,242331,240871,240425,239934.0833333333,244253.5,249564,255300.58333333334,259033.66666666666,262970.75000000006,267868.5,256623.66666666666,258299.83333333337,265126.3333333333,278591.9166666667,285687.0833333333
jobs_tot_co,2503958,2529579,2492260,2474435,2513190,2573900,2630099,2700471,2706876,2603971,2586439,2630186,2688818,2783297.9166666707,2887066.166666668,2976940.3333333298,3050497.833333334,3126939.7499999986,3209642.250000003,3286476.416666665,3148613.91666666,3271130.25,3399442.9999999963,3492828.5833333307,3505862.1678064154
inc_govl_co,6079000027,6681033724,7284705033,7604550703,7863547688,8138817614,8513592289,9069087674,9716159938,10055332446,10072678919,10051951059,10146397748,10277344825,10687879618,11254406974,11715241171,12139243607,12747313594,13471526199,13909399603,14535994098,15593756524,16907326262,18459552972
ws_govs_co,64741,66133,67664,67002,67089,68190,69031,70598,73676,75055,76262,77353,79563,90248.91666666666,91615.41666666667,93914,96224.33333333334,99573.75,102519.41666666666,107029.75,108312.08333333333,108957.58333333334,112172.49999999999,116317.25,118941
jobs_govf_co,54706,52911,53002,53449,52861,52647,52170,52103,52365,53469,56262,54867,54537,53538.25,52669.25,53312.75000000001,54077.166666666664,53504.16666666667,52834.333333333336,52992.583333333336,54667.166666666664,54150.58333333333,53345.333333333336,55211.25,57087
incp_govl_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inc_tot_co,80492836552,82858336830,81164401848,81708966084,85397306275,89984264502,96335007311,102708030502,106303347981,101685649052,102775346664,107100433611,112989038624,118818564371,127532170530,135245492129,139683633842,148595719795,157668987162,169186798402,173555174504,190593959131,209045555031,222470398281,232752387585.01346
incws_govf_co,2580019334,2617716842,2757136879,2878323091,3075182477,3199074017,3273266313,3416181626,3496273472,3627659192,3866748228,3944740526,3933998913,3810899849,3907990658,4020280289,4206101936,4252535931,4434571475,4540026766,4771961406,4927759934,5079689099,5570960579,6015406158
incp_govf_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
